"DisplayName","IsDynamicGroup","IsDynamicLikely","MembershipRule","ProcessingState","MemberCount","GroupType","Visibility","SyncStatus","Description","CreatedDate","RiskLevel","RiskReasons","AnalysisNotes","GroupId","LicenseEnvironment"
"ハレクラニ桟橋","False","False","取得不可 (E3制限)","不明","5","Microsoft 365","Private","クラウドのみ","ハレクラニ桟橋","2020/07/03","低","なし","動的グループの特徴なし","24afa80e-3b63-4730-be10-48f24d0037e7","E3 (制限あり)"
"技術本部技術部（山本ー平田）","False","False","取得不可 (E3制限)","不明","2","Microsoft 365","Public","クラウドのみ","技術本部技術部","2023/01/19","低","なし","動的グループの特徴なし","2c588f6a-ca1c-4221-a375-0f3bad1cc827","E3 (制限あり)"
"CSR報告書ワーキング","False","False","取得不可 (E3制限)","不明","10","Microsoft 365","Private","クラウドのみ","(安全品質環境本部品質環境部)
CSR報告書作成","2025/05/14","低","なし","動的グループの特徴なし","4e6ea41f-e6d1-4522-9917-04db1c2ec5a1","E3 (制限あり)"
"決算業務","False","False","取得不可 (E3制限)","不明","9","Microsoft 365","Private","クラウドのみ","(管理本部総務部)
決算業務の情報連携としてご利用ください","2025/04/09","低","なし","動的グループの特徴なし","5ea210ef-a55b-470e-b93e-331e2075dcff","E3 (制限あり)"
"SNS","False","False","取得不可 (E3制限)","不明","4","Microsoft 365","Private","クラウドのみ","(管理本部人事部)
SNS用","2024/11/29","低","なし","動的グループの特徴なし","64bd44f0-e2a3-432b-8120-62dd93ab900e","E3 (制限あり)"
"みらい建設工業株式会社","False","False","取得不可 (E3制限)","不明","466","Microsoft 365","Public","クラウドのみ","みらい建設工業株式会社","2020/02/12","低","なし","動的グループの特徴なし","70d9400d-d366-42fb-8038-7fa5098c245c","E3 (制限あり)"
"技術本部技術部（山本－小堀）","False","False","取得不可 (E3制限)","不明","2","Microsoft 365","Public","クラウドのみ","技術本部技術部（山本－小堀）","2023/03/14","低","なし","動的グループの特徴なし","91604b26-0cfa-4211-943e-852fdbbef2ae","E3 (制限あり)"
"技術本部技術部（石原ー山本）","False","False","取得不可 (E3制限)","不明","2","Microsoft 365","Public","クラウドのみ","技術本部技術部（石原ー山本）","2023/03/14","低","なし","動的グループの特徴なし","a74514f6-8422-4898-840a-14406f1d9f25","E3 (制限あり)"
"管理本部 総務部 システムG","False","False","取得不可 (E3制限)","不明","5","Microsoft 365","Private","クラウドのみ","(管理本部総務部） 
管理本部 総務部 システムG","2020/05/11","低","なし","動的グループの特徴なし","aa81cbf0-96aa-400c-893a-9770e31b78cd","E3 (制限あり)"
"埋浚四国","False","False","取得不可 (E3制限)","不明","1","Microsoft 365","Private","クラウドのみ","埋浚四国","2021/08/17","低","なし","動的グループの特徴なし","cd2e6508-3001-474b-8539-431f76597a12","E3 (制限あり)"
"アストモスエネルギー市川ターミナル　新規桟橋設計・施工業務","False","False","取得不可 (E3制限)","不明","4","Microsoft 365","Private","クラウドのみ","(技術本部技術部)
アストモスエネルギー市川ターミナル　新規桟橋設計・施工業務","2025/04/23","低","なし","動的グループの特徴なし","f4ee3753-dd1a-47a5-adf3-da43cfb83932","E3 (制限あり)"
