"DisplayName","GroupType","SecurityType","IsTeam","SecurityEnabled","MailEnabled","MemberCount","OwnerCount","AdminRoleCount","GlobalAdminCount","GroupAdminCount","Visibility","SyncStatus","HasMail","MailAddress","MailNickname","ProxyAddressCount","HasAssignedLicenses","LicenseCount","HasLicenseErrors","Classification","HasExpiration","ExpirationDate","LastRenewed","Description","CreatedDate","RiskLevel","RiskReasons","GroupId"
"中国支店（Zoom）","メール対応セキュリティグループ","セキュリティ+メール","False","True","True","0","0","0","0","0","未設定","クラウドのみ","True","Fw.m-chugoku@mirai-const.co.jp","Fw.m-chugoku","2","False","0","False","未分類","False","無期限","2024/02/09","説明なし","2024/02/09","高","オーナー不在","01b16e3d-9369-46a9-b724-bd33865461da"
"012人事採用","セキュリティグループ","セキュリティのみ","False","True","False","9","0","0","0","0","未設定","オンプレミス同期","False","設定なし","012____","0","False","0","False","未分類","False","無期限","2024/07/17","説明なし","2024/07/17","高","オーナー不在","0622fbd1-d002-4e22-9bd5-13bdd9736c6e"
"015リスク統括","セキュリティグループ","セキュリティのみ","False","True","False","8","0","0","0","0","未設定","オンプレミス同期","False","設定なし","015__","0","False","0","False","未分類","False","無期限","2024/07/23","リスク統括部用","2024/07/23","高","オーナー不在","06c9eb66-1839-4fbf-93ec-51bbd2d15bcf"
"電子入札（東京支店）","メール対応セキュリティグループ","セキュリティ+メール","False","True","True","3","0","0","0","0","未設定","クラウドのみ","True","Fw.bid-info04m@mirai-const.co.jp","Fw.bid-info04m","2","False","0","False","未分類","False","無期限","2024/02/09","説明なし","2024/02/09","高","オーナー不在","099f3221-5ab6-4fca-8371-7803992b5569"
"管理（九州）","メール対応セキュリティグループ","セキュリティ+メール","False","True","True","2","0","0","0","0","未設定","クラウドのみ","True","Fw.kanri-kyushu@mirai-const.co.jp","Fw.kanri-kyushu","2","False","0","False","未分類","False","無期限","2024/09/05","管理（九州）","2024/09/05","高","オーナー不在","0de8b9e7-f897-486e-b352-57076cb92596"
"会計システムサポート用","メール対応セキュリティグループ","セキュリティ+メール","False","True","True","2","0","0","0","0","未設定","クラウドのみ","True","Fw.kaikei-support@mirai-const.co.jp","Fw.kaikei-support","2","False","0","False","未分類","False","無期限","2024/02/09","説明なし","2024/02/09","高","オーナー不在","1043816d-e4b4-4d3c-84ac-03db22a58ddf"
"CIM用12","メール対応セキュリティグループ","セキュリティ+メール","False","True","True","0","0","0","0","0","未設定","クラウドのみ","True","Fw.cim-master12@mirai-const.co.jp","Fw.cim-master12","2","False","0","False","未分類","False","無期限","2024/02/09","説明なし","2024/02/09","高","オーナー不在","1204f146-05e3-4103-b35a-0a28f268992f"
"005安全品質環境本部GS","セキュリティグループ","セキュリティのみ","False","True","False","2","0","0","0","0","未設定","オンプレミス同期","False","設定なし","005________GS","0","False","0","False","未分類","False","無期限","2024/07/23","グリーンサイトバックアップ用","2024/07/23","高","オーナー不在","121a88e0-268a-4f0e-b987-91afd3192b17"
"丸田雅博","メール対応セキュリティグループ","セキュリティ+メール","False","True","True","1","0","0","0","0","未設定","クラウドのみ","True","Fw.m-maruta@mirai-const.co.jp","Fw.m-maruta","2","False","0","False","未分類","False","無期限","2024/02/09","説明なし","2024/02/09","高","オーナー不在","12646e5a-218b-46a7-872d-f8a2b29720c4"
"G創意工夫","セキュリティグループ","セキュリティのみ","False","True","False","42","0","0","0","0","未設定","オンプレミス同期","False","設定なし","G____","0","False","0","False","未分類","False","無期限","2024/08/08","説明なし","2024/08/08","高","オーナー不在","135faacf-8e75-4e50-a9f0-a75a100c7c46"
"CIM用01","メール対応セキュリティグループ","セキュリティ+メール","False","True","True","0","0","0","0","0","未設定","クラウドのみ","True","Fw.cim-master01@mirai-const.co.jp","Fw.cim-master01","2","False","0","False","未分類","False","無期限","2024/02/09","説明なし","2024/02/09","高","オーナー不在","15a535d8-392e-47a7-8d67-a834e2424f70"
"G入札検証","セキュリティグループ","セキュリティのみ","False","True","False","69","0","0","0","0","未設定","オンプレミス同期","False","設定なし","G____","0","False","0","False","未分類","False","無期限","2024/10/21","入札検証（直轄港湾）","2024/10/21","高","オーナー不在","1675980d-1eec-419a-894b-73f76f1c464c"
"059九州","セキュリティグループ","セキュリティのみ","False","True","False","12","0","0","0","0","未設定","オンプレミス同期","False","設定なし","059__","0","False","0","False","未分類","False","無期限","2024/07/17","西日本土木本店・九州支店","2024/07/17","高","オーナー不在","17c95289-6f78-4b9a-8f68-26a952930246"
"山口晴久","メール対応セキュリティグループ","セキュリティ+メール","False","True","True","1","0","0","0","0","未設定","クラウドのみ","True","Fw.h-yamaguchi@mirai-const.co.jp","Fw.h-yamaguchi","2","False","0","False","未分類","False","無期限","2024/02/09","説明なし","2024/02/09","高","オーナー不在","1bbaba3e-34bd-4b62-8ad3-7e92d1550567"
"904C賃金台帳（東北）","セキュリティグループ","セキュリティのみ","False","True","False","13","0","0","0","0","未設定","オンプレミス同期","False","設定なし","904C________","0","False","0","False","未分類","False","無期限","2024/07/17","説明なし","2024/07/17","高","オーナー不在","1c109259-6e25-4975-8b28-a0350cda1316"
"電子入札（北海道支店）","メール対応セキュリティグループ","セキュリティ+メール","False","True","True","5","0","0","0","0","未設定","クラウドのみ","True","Fw.bid-info02m@mirai-const.co.jp","Fw.bid-info02m","2","False","0","False","未分類","False","無期限","2024/02/09","説明なし","2024/02/09","高","オーナー不在","1c1cc39a-1ca3-456e-bf09-56f4e4c13efd"
"032民間営業","セキュリティグループ","セキュリティのみ","False","True","False","44","0","0","0","0","未設定","オンプレミス同期","False","設定なし","032____","0","False","0","False","未分類","False","無期限","2024/07/23","民間営業","2024/07/23","高","オーナー不在","1ce3a127-040b-4195-828e-6bdb224b26e4"
