"SenderAddress","ThreatCount","FirstSeen","LastSeen","ThreatTypes","TargetedUsers","RiskScore"
"no-reply@tmes.trendmicro.com","75","2025/06/12 4:02:00","2025/06/12 8:03:23","スパム","46","100"
"mailnews@sourcenext.info","14","2025/06/12 0:16:58","2025/06/12 5:44:59","スパム","6","100"
"mailmag@ipros.jp","13","2025/06/12 2:12:59","2025/06/12 6:46:25","スパム","9","100"
"pr_news@point.recruit.co.jp","10","2025/06/12 4:19:28","2025/06/12 5:37:40","スパム","10","100"
"gnavi-member@gnavi.co.jp","8","2025/06/12 1:10:25","2025/06/12 6:33:57","スパム","7","80"
"news@skygate.co.jp","6","2025/06/12 1:58:41","2025/06/12 10:48:06","スパム","2","60"
"info@bay-mon.com","5","2025/06/12 10:46:54","2025/06/12 10:46:54","スパム","5","50"
"marketing_news@ipros.jp","5","2025/06/12 7:21:34","2025/06/12 7:53:29","スパム","5","50"
"info@share-share.co.jp","5","2025/06/12 2:27:01","2025/06/12 2:27:01","スパム","5","50"
"mag@raksul.com","4","2025/06/12 4:05:23","2025/06/12 8:32:14","スパム","2","40"
"otodoke-j@jalan.net","3","2025/06/12 2:29:05","2025/06/12 2:52:51","スパム","3","30"
"kanehiko-shindo38shibu@outlook.jp","3","2025/06/12 5:10:21","2025/06/12 5:10:28","スパム","3","30"
"mailmag@bizocean.jp","3","2025/06/12 8:38:55","2025/06/12 8:54:40","スパム","3","30"
"point-j@jalan.net","3","2025/06/12 8:03:53","2025/06/12 8:51:43","スパム","3","30"
"spl@kentem.co.jp","3","2025/06/12 1:58:31","2025/06/12 1:58:57","スパム","3","30"
"mailmagazine_tkt@toyokeizai.net","3","2025/06/12 2:10:54","2025/06/12 7:17:12","スパム","1","30"
"oshirase@major1.co.jp","3","2025/06/12 1:30:19","2025/06/12 5:30:35","スパム","3","30"
"mailmaga@evolableasia.com","3","2025/06/12 1:43:43","2025/06/12 9:24:57","スパム","1","30"
"seminar-info@bcon.co.jp","2","2025/06/12 2:10:22","2025/06/12 2:11:12","スパム","2","20"
"shop@mail.shopjapan.co.jp","2","2025/06/12 1:22:15","2025/06/12 9:22:17","スパム","1","20"
"jobcommit@hr-team.co.jp","2","2025/06/12 2:46:45","2025/06/12 3:11:02","スパム","1","20"
"no-reply@mirai-const.co.jp","2","2025/06/12 0:58:56","2025/06/12 1:24:15","隔離","2","20"
"tgml-10@nikkeibp.co.jp","2","2025/06/12 1:46:25","2025/06/12 3:39:58","スパム","1","20"
"rcmd@honto.jp","2","2025/06/12 0:41:42","2025/06/12 1:06:06","スパム","2","20"
"users@justsystems.com","2","2025/06/12 3:44:06","2025/06/12 7:24:26","スパム","1","20"
"mailmag@bizocean.email","2","2025/06/12 6:34:21","2025/06/12 6:44:16","スパム","2","20"
"magazine@mag.irisplaza.co.jp","2","2025/06/12 10:04:56","2025/06/12 10:05:07","スパム","2","20"
