"Month","MonthName","LicenseCount","MonthlyCost","UtilizationRate","AlertLevel","TrendDirection","LicenseType","ActualData","AnalysisTimestamp"
"2024-07","2024年07月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2024-08","2024年08月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2024-09","2024年09月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2024-10","2024年10月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2024-11","2024年11月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2024-12","2024年12月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2025-01","2025年01月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2025-02","2025年02月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2025-03","2025年03月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2025-04","2025年04月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2025-05","2025年05月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
"2025-06","2025年06月","463","1361220","100","Normal","Stable","Microsoft 365 E3","True","06/13/2025 17:51:51"
