"ライセンス種別","総ライセンス数","割当済み","利用可能","利用率","月額コスト","最終更新日","次回更新日","自動更新","コスト最適化可能"
"Business Standard","222","190","32","85.6","2200","2025-07-09","2026-04-15","有効","可能"
"Business Standard","94","74","20","78.7","2200","2025-07-09","2025-11-15","有効","可能"
"Microsoft 365 E3","135","109","26","80.7","4500","2025-07-09","2026-05-15","有効","不要"
"Office 365 E1","123","102","21","82.9","1400","2025-07-14","2026-01-15","有効","不要"
"Business Standard","139","128","11","92.1","2200","2025-07-11","2025-11-15","有効","可能"
"Business Premium","200","152","48","76","3300","2025-07-10","2025-09-15","無効","不要"
"Microsoft 365 E5","203","168","35","82.8","6650","2025-07-10","2026-02-15","無効","不要"
"Microsoft 365 E3","207","190","17","91.8","4500","2025-07-10","2025-10-15","無効","不要"
"Microsoft 365 E5","213","177","36","83.1","6650","2025-07-14","2025-12-15","有効","不要"
"Office 365 E1","182","153","29","84.1","1400","2025-07-15","2025-10-15","無効","不要"
"Business Premium","192","166","26","86.5","3300","2025-07-13","2026-03-15","無効","不要"
"Microsoft 365 E3","180","153","27","85","4500","2025-07-13","2026-03-15","有効","可能"
"Microsoft 365 E3","167","126","41","75.4","4500","2025-07-11","2026-03-15","無効","不要"
"Microsoft 365 E3","102","68","34","66.7","4500","2025-07-15","2026-05-15","無効","不要"
"Business Standard","147","105","42","71.4","2200","2025-07-15","2026-06-15","有効","不要"
"Office 365 E1","232","198","34","85.3","1400","2025-07-09","2025-09-15","無効","不要"
"Microsoft 365 E3","210","194","16","92.4","4500","2025-07-13","2025-11-15","無効","不要"
"Business Standard","165","134","31","81.2","2200","2025-07-10","2026-04-15","有効","不要"
"Business Premium","141","116","25","82.3","3300","2025-07-12","2026-01-15","無効","可能"
"Business Premium","113","96","17","85","3300","2025-07-14","2026-03-15","無効","可能"
"Business Standard","102","58","44","56.9","2200","2025-07-13","2025-10-15","無効","不要"
"Business Standard","188","146","42","77.7","2200","2025-07-14","2026-04-15","有効","不要"
"Microsoft 365 E5","141","103","38","73","6650","2025-07-13","2025-11-15","無効","不要"
"Business Premium","167","143","24","85.6","3300","2025-07-14","2026-02-15","無効","不要"
"Office 365 E1","72","55","17","76.4","1400","2025-07-13","2025-10-15","無効","可能"
